id,title,section,type,priority,status,implementation,verification,notes
FR-279,Service Health Monitoring,Observability&Monitoring,FR,,not-started,,,
FR-280,Health Status Reporting,Observability&Monitoring,FR,,not-started,,,
FR-281,Diagnostic Report Generation,Observability&Monitoring,FR,,not-started,,,
FR-282,Log Level Configuration,Observability&Monitoring,FR,,not-started,,,
FR-283,Log Rotation,Observability&Monitoring,FR,,not-started,,,
FR-284,Log Export,Observability&Monitoring,FR,,not-started,,,
FR-285,Event Correlation,Observability&Monitoring,FR,,not-started,,,
FR-286,Database Performance Monitoring,Observability&Monitoring,FR,,not-started,,,
FR-287,Background Task Monitoring,Observability&Monitoring,FR,,not-started,,,
FR-288,Resource Usage Monitoring,Observability&Monitoring,FR,,not-started,,,
FR-289,Security Event Monitoring,Observability&Monitoring,FR,,not-started,,,
FR-290,Notification of Critical Events,Observability&Monitoring,FR,,not-started,,,
FR-291,Application Startup Metrics,Observability&Monitoring,FR,,not-started,,,
FR-292,Historical Metrics Retention,Observability&Monitoring,FR,,not-started,,,
FR-293,Integrity Monitoring,Observability&Monitoring,FR,,not-started,,,
FR-294,Diagnostic Self-Test,Observability&Monitoring,FR,,not-started,,,
FR-295,Observability Dashboard,Observability&Monitoring,FR,,not-started,,,
FR-296,Exception Monitoring,Observability&Monitoring,FR,,not-started,,,
FR-297,Alert Threshold Management,Observability&Monitoring,FR,,not-started,,,
FR-298,Audit Trail Integrity,Observability&Monitoring,FR,,not-started,,,
FR-299,Operational Report Generation,Observability&Monitoring,FR,,not-started,,,
FR-300,Observability Readiness Verification,Observability&Monitoring,FR,,not-started,,,
FR-301,Data Classification,DataLifecycleManagement,FR,,not-started,,,
FR-302,Data Ownership Tracking,DataLifecycleManagement,FR,,not-started,,,
FR-303,Data Creation Auditing,DataLifecycleManagement,FR,,not-started,,,
FR-304,Data Modification Auditing,DataLifecycleManagement,FR,,not-started,,,
FR-305,Data Retention Policies,DataLifecycleManagement,FR,,not-started,,,
FR-306,Data Expiration Management,DataLifecycleManagement,FR,,not-started,,,
FR-307,Secure Data Archiving,DataLifecycleManagement,FR,,not-started,,,
FR-308,Secure Deletion,DataLifecycleManagement,FR,,partial,vault/VaultRepository.kt,,vault secure delete verified; classification-wide deletion pending
FR-309,Vault Data Lifecycle Management,DataLifecycleManagement,FR,,not-started,,,
FR-310,Temporary Data Lifecycle Control,DataLifecycleManagement,FR,,not-started,,,
FR-311,Metadata Consistency Verification,DataLifecycleManagement,FR,,not-started,,,
FR-312,Orphaned Data Detection,DataLifecycleManagement,FR,,not-started,,,
FR-313,Data Integrity Verification,DataLifecycleManagement,FR,,not-started,,,
FR-314,Backup Lifecycle Management,DataLifecycleManagement,FR,,not-started,,,
FR-315,Backup Version Tracking,DataLifecycleManagement,FR,,not-started,,,
FR-316,Backup Expiration Enforcement,DataLifecycleManagement,FR,,not-started,,,
FR-317,Cryptographic Key Lifecycle Management,DataLifecycleManagement,FR,,not-started,,,
FR-318,Key Rotation Support,DataLifecycleManagement,FR,,not-started,,,
FR-319,Key Retirement Management,DataLifecycleManagement,FR,,not-started,,,
FR-320,Storage Capacity Forecasting,DataLifecycleManagement,FR,,not-started,,,
FR-321,Cache Lifecycle Management,DataLifecycleManagement,FR,,not-started,,,
FR-322,Data Migration Management,DataLifecycleManagement,FR,,not-started,,,
FR-323,Data Recovery Validation,DataLifecycleManagement,FR,,not-started,,,
FR-324,Data Lifecycle Reporting,DataLifecycleManagement,FR,,not-started,,,
FR-325,Data Lifecycle Readiness Verification,DataLifecycleManagement,FR,,not-started,,,
FR-326,Scalable Application Management,Scalability&ResourceManagement,FR,,not-started,,,
FR-327,Scalable Vault Management,Scalability&ResourceManagement,FR,,not-started,,,
FR-328,Audit Log Scalability,Scalability&ResourceManagement,FR,,not-started,,,
FR-329,Incremental Data Loading,Scalability&ResourceManagement,FR,,not-started,,,
FR-330,Pagination Support,Scalability&ResourceManagement,FR,,not-started,,,
FR-331,Lazy Resource Initialization,Scalability&ResourceManagement,FR,,not-started,,,
FR-332,Background Processing for Intensive Operations,Scalability&ResourceManagement,FR,,not-started,,,
FR-333,Resource Prioritization,Scalability&ResourceManagement,FR,,not-started,,,
FR-334,Memory Management,Scalability&ResourceManagement,FR,,not-started,,,
FR-335,Storage Capacity Monitoring,Scalability&ResourceManagement,FR,,not-started,,,
FR-336,Storage Optimization,Scalability&ResourceManagement,FR,,not-started,,,
FR-337,Database Optimization,Scalability&ResourceManagement,FR,,not-started,,,
FR-338,Efficient Search Operations,Scalability&ResourceManagement,FR,,not-started,,,
FR-339,Background Maintenance Scheduler,Scalability&ResourceManagement,FR,,not-started,,,
FR-340,Resource Usage Reporting,Scalability&ResourceManagement,FR,,not-started,,,
FR-341,Capacity Forecasting,Scalability&ResourceManagement,FR,,not-started,,,
FR-342,Concurrent Operation Management,Scalability&ResourceManagement,FR,,not-started,,,
FR-343,Resource Limit Enforcement,Scalability&ResourceManagement,FR,,not-started,,,
FR-344,Performance Degradation Detection,Scalability&ResourceManagement,FR,,not-started,,,
FR-345,Scalability Validation,Scalability&ResourceManagement,FR,,not-started,,,
FR-346,Battery-Aware Operation,Scalability&ResourceManagement,FR,,not-started,,,
FR-347,Android Resource Compliance,Scalability&ResourceManagement,FR,,not-started,,,
FR-348,Thread Management,Scalability&ResourceManagement,FR,,not-started,,,
FR-349,Scalability Readiness Assessment,Scalability&ResourceManagement,FR,,not-started,,,
FR-350,Scalability & Resource Management Verification,Scalability&ResourceManagement,FR,,not-started,,,
FR-351,Modular Architecture,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-352,Separation of Concerns,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-353,Interface-Based Design,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-354,Centralized Security Services,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-355,Secure Dependency Management,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-356,Dependency Update Management,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-357,Secure Build Process,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-358,Static Analysis Verification,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-359,Coding Standards Compliance,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-360,Source Documentation,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-361,Version Control Compatibility,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-362,Code Review Support,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-363,Automated Testing Integration,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-364,Documentation Versioning,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-365,Secure Configuration Management,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-366,Vulnerability Management,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-367,Release Approval Process,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-368,Secure Release Packaging,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-369,Secure Issue Tracking,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-370,Technical Debt Management,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-371,Refactoring Support,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-372,Long-Term Maintainability,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-373,Secure Development Verification,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-374,Maintenance Readiness Assessment,SecureDevelopment&Maintenance,FR,,not-started,,,
FR-375,Secure Development & Maintenance Verification,SecureDevelopment&Maintenance,FR,,not-started,,,
NFR-PERF-001,Application Startup Time,Performance,NFR,,not-started,,,
NFR-PERF-002,Warm Startup Time,Performance,NFR,,not-started,,,
NFR-PERF-003,User Interface Responsiveness,Performance,NFR,,not-started,,,
NFR-PERF-004,Frame Rendering Performance,Performance,NFR,,not-started,,,
NFR-PERF-005,Database Query Performance,Performance,NFR,,not-started,,,
NFR-PERF-006,Search Performance,Performance,NFR,,not-started,,,
NFR-PERF-007,Secure Vault Loading Performance,Performance,NFR,,not-started,,,
NFR-PERF-008,Background Task Scheduling,Performance,NFR,,not-started,,,
NFR-PERF-009,Memory Allocation Efficiency,Performance,NFR,,not-started,,,
NFR-PERF-010,Storage I/O Performance,Performance,NFR,,not-started,,,
NFR-PERF-011,Cryptographic Operation Performance,Performance,NFR,,not-started,,,
NFR-PERF-012,Application Lock Detection Latency,Performance,NFR,,not-started,,,
NFR-PERF-013,Concurrent Operation Performance,Performance,NFR,,not-started,,,
NFR-PERF-014,Performance Regression Control,Performance,NFR,,not-started,,,
NFR-PERF-015,Performance Benchmarking,Performance,NFR,,not-started,,,
NFR-REL-001,Operational Stability,Reliability,NFR,,not-started,,,
NFR-REL-002,Mean Time Between Failures (MTBF),Reliability,NFR,,not-started,,,
NFR-REL-003,Mean Time to Recovery (MTTR),Reliability,NFR,,not-started,,,
NFR-REL-004,Crash-Free Operation,Reliability,NFR,,not-started,,,
NFR-REL-005,Data Integrity,Reliability,NFR,,not-started,,,
NFR-REL-006,Transaction Consistency,Reliability,NFR,,not-started,,,
NFR-REL-007,State Consistency,Reliability,NFR,,not-started,,,
NFR-REL-008,Long-Term Operational Reliability,Reliability,NFR,,not-started,,,
NFR-REL-009,Fault Isolation,Reliability,NFR,,not-started,,,
NFR-REL-010,Consistent Functional Behavior,Reliability,NFR,,not-started,,,
NFR-REL-011,Reliability Regression Control,Reliability,NFR,,not-started,,,
NFR-REL-012,Reliability Validation,Reliability,NFR,,not-started,,,
NFR-AVAIL-001,Application Availability,Availability,NFR,,not-started,,,
NFR-AVAIL-002,Core Protection Availability,Availability,NFR,,not-started,,,
NFR-AVAIL-003,Startup Availability,Availability,NFR,,not-started,,,
NFR-AVAIL-004,Service Continuity,Availability,NFR,,not-started,,,
NFR-AVAIL-005,Device Restart Recovery Availability,Availability,NFR,,not-started,,,
NFR-AVAIL-006,Update Availability,Availability,NFR,,not-started,,,
NFR-AVAIL-007,Graceful Degradation Availability,Availability,NFR,,not-started,,,
NFR-AVAIL-008,Recovery Availability,Availability,NFR,,not-started,,,
NFR-AVAIL-009,Offline Availability,Availability,NFR,,not-started,,,
NFR-AVAIL-010,Availability Monitoring,Availability,NFR,,not-started,,,
NFR-RES-001,CPU Utilization,ResourceEfficiency,NFR,,not-started,,,
NFR-RES-002,Memory Utilization,ResourceEfficiency,NFR,,not-started,,,
NFR-RES-003,Battery Consumption,ResourceEfficiency,NFR,,not-started,,,
NFR-RES-004,Storage Utilization,ResourceEfficiency,NFR,,not-started,,,
NFR-RES-005,Cache Efficiency,ResourceEfficiency,NFR,,not-started,,,
NFR-RES-006,Network Efficiency,ResourceEfficiency,NFR,,not-started,,,
NFR-RES-007,Background Processing Efficiency,ResourceEfficiency,NFR,,not-started,,,
NFR-RES-008,Thread Efficiency,ResourceEfficiency,NFR,,not-started,,,
NFR-RES-009,Input/Output Efficiency,ResourceEfficiency,NFR,,not-started,,,
NFR-RES-010,Resource Cleanup,ResourceEfficiency,NFR,,not-started,,,
NFR-RES-011,Thermal Efficiency,ResourceEfficiency,NFR,,not-started,,,
NFR-RES-012,Resource Contention,ResourceEfficiency,NFR,,not-started,,,
NFR-RES-013,Resource Monitoring,ResourceEfficiency,NFR,,not-started,,,
NFR-SEC-001,Security by Design,SecurityQuality,NFR,,not-started,,,
NFR-SEC-002,Cryptographic Standards,SecurityQuality,NFR,,partial,core/security/,,Argon2id/AES-256-GCM/SQLCipher in place; unverified against spec text
NFR-SEC-003,Secure Randomness,SecurityQuality,NFR,,not-started,,,
NFR-SEC-004,Secure Key Protection,SecurityQuality,NFR,,partial,core/security/DatabaseKeyProvider.kt,,Keystore-backed keys; rotation absent (FR-317..319)
NFR-SEC-005,Secure Secret Management,SecurityQuality,NFR,,not-started,,,
NFR-SEC-006,Least Privilege,SecurityQuality,NFR,,not-started,,,
NFR-SEC-007,Secure Communication,SecurityQuality,NFR,,not-started,,,
NFR-SEC-008,Attack Surface Minimization,SecurityQuality,NFR,,not-started,,,
NFR-SEC-009,Secure Failure Behavior,SecurityQuality,NFR,,not-started,,,
NFR-SEC-010,Security Logging Quality,SecurityQuality,NFR,,not-started,,,
NFR-SEC-011,Dependency Security,SecurityQuality,NFR,,not-started,,,
NFR-SEC-012,Static Security Analysis,SecurityQuality,NFR,,not-started,,,
NFR-SEC-013,Dynamic Security Testing,SecurityQuality,NFR,,not-started,,,
NFR-SEC-014,Vulnerability Remediation,SecurityQuality,NFR,,not-started,,,
NFR-SEC-015,Security Regression Prevention,SecurityQuality,NFR,,not-started,,,
NFR-SEC-016,Secure Build Integrity,SecurityQuality,NFR,,not-started,,,
NFR-SEC-017,Security Documentation,SecurityQuality,NFR,,not-started,,,
NFR-SEC-018,Independent Security Assessment,SecurityQuality,NFR,,not-started,,,
NFR-SEC-019,Security Metrics,SecurityQuality,NFR,,not-started,,,
NFR-SEC-020,Continuous Security Improvement,SecurityQuality,NFR,,not-started,,,
NFR-PRIV-001,Data Minimization,PrivacyQuality,NFR,,not-started,,,
NFR-PRIV-002,Purpose Limitation,PrivacyQuality,NFR,,not-started,,,
NFR-PRIV-003,Local Processing Preference,PrivacyQuality,NFR,,not-started,,,
NFR-PRIV-004,Privacy by Default,PrivacyQuality,NFR,,not-started,,,
NFR-PRIV-005,Data Exposure Minimization,PrivacyQuality,NFR,,not-started,,,
NFR-PRIV-006,Metadata Protection,PrivacyQuality,NFR,,not-started,,,
NFR-PRIV-007,User Data Lifecycle Governance,PrivacyQuality,NFR,,not-started,,,
NFR-PRIV-008,Privacy Impact Assessment,PrivacyQuality,NFR,,not-started,,,
NFR-PRIV-009,Third-Party Privacy Assurance,PrivacyQuality,NFR,,not-started,,,
NFR-PRIV-010,Privacy Compliance Verification,PrivacyQuality,NFR,,not-started,,,
NFR-MNT-001,Modular Design,Maintainability,NFR,,not-started,,,
NFR-MNT-002,Separation of Concerns,Maintainability,NFR,,not-started,,,
NFR-MNT-003,Coding Standards Compliance,Maintainability,NFR,,not-started,,,
NFR-MNT-004,Code Readability,Maintainability,NFR,,not-started,,,
NFR-MNT-005,Documentation Quality,Maintainability,NFR,,not-started,,,
NFR-MNT-006,Change Traceability,Maintainability,NFR,,not-started,,,
NFR-MNT-007,Dependency Management,Maintainability,NFR,,not-started,,,
NFR-MNT-008,Technical Debt Management,Maintainability,NFR,,not-started,,,
NFR-MNT-009,Configuration Management,Maintainability,NFR,,not-started,,,
NFR-MNT-010,Backward Compatibility,Maintainability,NFR,,not-started,,,
NFR-MNT-011,Build Maintainability,Maintainability,NFR,,not-started,,,
NFR-MNT-012,Refactoring Quality,Maintainability,NFR,,not-started,,,
NFR-MNT-013,Knowledge Transfer,Maintainability,NFR,,not-started,,,
NFR-MNT-014,Maintainability Assessment,Maintainability,NFR,,not-started,,,
NFR-MNT-015,Continuous Maintainability Improvement,Maintainability,NFR,,not-started,,,
NFR-TEST-001,Testable Architecture,Testability,NFR,,partial,,,injectable clocks/policies in domain logic; 67 JVM tests
NFR-TEST-002,Automated Testing,Testability,NFR,,not-started,,,
NFR-TEST-003,Unit Test Coverage,Testability,NFR,,not-started,,,
NFR-TEST-004,Integration Test Coverage,Testability,NFR,,not-started,,,
NFR-TEST-005,Regression Testing,Testability,NFR,,not-started,,,
NFR-TEST-006,Repeatability,Testability,NFR,,not-started,,,
NFR-TEST-007,Test Environment Consistency,Testability,NFR,,not-started,,,
NFR-TEST-008,Test Data Management,Testability,NFR,,not-started,,,
NFR-TEST-009,Continuous Quality Verification,Testability,NFR,,not-started,,,
NFR-TEST-010,Defect Verification,Testability,NFR,,not-started,,,
NFR-TEST-011,Test Coverage Assessment,Testability,NFR,,not-started,,,
NFR-TEST-012,Test Process Improvement,Testability,NFR,,not-started,,,
NFR-OBS-001,Telemetry Consistency,Observability,NFR,,not-started,,,
NFR-OBS-002,Timestamp Accuracy,Observability,NFR,,not-started,,,
NFR-OBS-003,Diagnostic Completeness,Observability,NFR,,not-started,,,
NFR-OBS-004,Metric Quality,Observability,NFR,,not-started,,,
NFR-OBS-005,Telemetry Performance Impact,Observability,NFR,,not-started,,,
NFR-OBS-006,Data Integrity,Observability,NFR,,not-started,,,
NFR-OBS-007,Information Classification,Observability,NFR,,not-started,,,
NFR-OBS-008,Retention Governance,Observability,NFR,,not-started,,,
NFR-OBS-009,Diagnostic Availability,Observability,NFR,,not-started,,,
NFR-OBS-010,Observability Validation,Observability,NFR,,not-started,,,
NFR-OBS-011,Operational Trend Analysis,Observability,NFR,,not-started,,,
NFR-OBS-012,Continuous Observability Improvement,Observability,NFR,,not-started,,,
NFR-UX-001,User Interface Consistency,Usability&Accessibility,NFR,,not-started,,,
NFR-UX-002,Learnability,Usability&Accessibility,NFR,,not-started,,,
NFR-UX-003,User Interaction Efficiency,Usability&Accessibility,NFR,,not-started,,,
NFR-UX-004,Visual Consistency,Usability&Accessibility,NFR,,not-started,,,
NFR-UX-005,Error Prevention,Usability&Accessibility,NFR,,not-started,,,
NFR-UX-006,Error Recovery Support,Usability&Accessibility,NFR,,not-started,,,
NFR-UX-007,Accessibility Standards,Usability&Accessibility,NFR,,not-started,,,
NFR-UX-008,Screen Reader Compatibility,Usability&Accessibility,NFR,,not-started,,,
NFR-UX-009,Visual Accessibility,Usability&Accessibility,NFR,,not-started,,,
NFR-UX-010,Touch Accessibility,Usability&Accessibility,NFR,,not-started,,,
NFR-UX-011,Adaptive User Interface,Usability&Accessibility,NFR,,not-started,,,
NFR-UX-012,Localization Readiness,Usability&Accessibility,NFR,,not-started,,,
NFR-UX-013,User Satisfaction Assessment,Usability&Accessibility,NFR,,not-started,,,
NFR-UX-014,Accessibility Verification,Usability&Accessibility,NFR,,not-started,,,
NFR-UX-015,Continuous Usability Improvement,Usability&Accessibility,NFR,,not-started,,,
NFR-COMP-001,Android Platform Compatibility,Compatibility&Portability,NFR,,not-started,,,ADR-014: CI device matrix (API 26/29/33/35) is the M1 evidence path
NFR-COMP-002,Device Compatibility,Compatibility&Portability,NFR,,not-started,,,
NFR-COMP-003,Display Compatibility,Compatibility&Portability,NFR,,not-started,,,
NFR-COMP-004,Hardware Compatibility,Compatibility&Portability,NFR,,not-started,,,
NFR-COMP-005,Android Runtime Compatibility,Compatibility&Portability,NFR,,not-started,,,
NFR-COMP-006,Build Environment Portability,Compatibility&Portability,NFR,,not-started,,,
NFR-COMP-007,Configuration Portability,Compatibility&Portability,NFR,,not-started,,,
NFR-COMP-008,Data Portability,Compatibility&Portability,NFR,,not-started,,,
NFR-COMP-009,Forward Compatibility,Compatibility&Portability,NFR,,not-started,,,
NFR-COMP-010,Dependency Portability,Compatibility&Portability,NFR,,not-started,,,
NFR-COMP-011,Release Compatibility Verification,Compatibility&Portability,NFR,,not-started,,,
NFR-COMP-012,Continuous Compatibility Improvement,Compatibility&Portability,NFR,,not-started,,,
NFR-COMPY-001,Regulatory Compliance,Compliance,NFR,,not-started,,,
NFR-COMPY-002,Google Play Compliance,Compliance,NFR,,not-started,,,
NFR-COMPY-003,Android Platform Compliance,Compliance,NFR,,not-started,,,
NFR-COMPY-004,Security Standards Compliance,Compliance,NFR,,not-started,,,
NFR-COMPY-005,Privacy Compliance,Compliance,NFR,,not-started,,,
NFR-COMPY-006,Open Source License Compliance,Compliance,NFR,,not-started,,,
NFR-COMPY-007,Documentation Compliance,Compliance,NFR,,not-started,,,
NFR-COMPY-008,Process Compliance,Compliance,NFR,,not-started,,,
NFR-COMPY-009,Compliance Evidence,Compliance,NFR,,not-started,,,
NFR-COMPY-010,Periodic Compliance Review,Compliance,NFR,,not-started,,,
NFR-OPS-001,Production Readiness,OperationalQuality,NFR,,not-started,,,
NFR-OPS-002,Release Management,OperationalQuality,NFR,,not-started,,,
NFR-OPS-003,Reproducible Builds,OperationalQuality,NFR,,not-started,,,
NFR-OPS-004,Deployment Validation,OperationalQuality,NFR,,not-started,,,
NFR-OPS-005,Configuration Governance,OperationalQuality,NFR,,not-started,,,
NFR-OPS-006,Release Rollback Capability,OperationalQuality,NFR,,not-started,,,
NFR-OPS-007,Incident Response Readiness,OperationalQuality,NFR,,not-started,,,
NFR-OPS-008,Operational Documentation,OperationalQuality,NFR,,not-started,,,
NFR-OPS-009,Operational Monitoring Readiness,OperationalQuality,NFR,,not-started,,,
NFR-OPS-010,Maintenance Window Management,OperationalQuality,NFR,,not-started,,,
NFR-OPS-011,Change Management,OperationalQuality,NFR,,not-started,,,
NFR-OPS-012,Operational Metrics Review,OperationalQuality,NFR,,not-started,,,
NFR-OPS-013,Supportability,OperationalQuality,NFR,,not-started,,,
NFR-OPS-014,Lifecycle Management,OperationalQuality,NFR,,not-started,,,
NFR-OPS-015,Continuous Operational Improvement,OperationalQuality,NFR,,not-started,,,
